Team_Name,Season,Squad_Value_Total,Squad_Value_Mean,Squad_Size,Season_Year
Blackburn Rovers,9495,0.0,,0,1994
Blackburn Rovers,9596,0.0,,0,1995
Blackburn Rovers,9697,0.0,,0,1996
Blackburn Rovers,9798,0.0,,0,1997
Blackburn Rovers,9899,0.0,,0,1998
Blackpool FC,1011,50025000.0,1352027.027027027,37,2010
Bolton Wanderers,0102,0.0,,0,2001
Bolton Wanderers,0203,0.0,,0,2002
Bolton Wanderers,0304,0.0,,0,2003
Bolton Wanderers,0405,63580000.0,2354814.814814815,27,2004
Bolton Wanderers,0506,56175000.0,2247000.0,25,2005
Bolton Wanderers,0607,72380000.0,2261875.0,32,2006
Bolton Wanderers,0708,71850000.0,2395000.0,30,2007
Bolton Wanderers,0809,75100000.0,2589655.172413793,29,2008
Bolton Wanderers,0910,85800000.0,2681250.0,32,2009
Bolton Wanderers,1011,100150000.0,3230645.1612903224,31,2010
Bolton Wanderers,1112,90050000.0,2814062.5,32,2011
Bolton Wanderers,9596,0.0,,0,1995
Bolton Wanderers,9798,0.0,,0,1997
Bradford City,0001,0.0,,0,2000
Bradford City,9900,0.0,,0,1999
Brentford FC,2122,273300000.0,7808571.428571428,35,2021
Brentford FC,2223,371200000.0,10605714.285714285,35,2022
Brentford FC,2324,428775000.0,10457926.829268293,41,2023
Brentford FC,2425,414725000.0,13378225.806451613,31,2024
Brentford FC,2526,498675000.0,15583593.75,32,2025
Brentford FC,2627,527300000.0,15978787.878787879,33,2026
Brighton and Hove Albion,1718,148200000.0,4358823.529411765,34,2017
Brighton and Hove Albion,1819,194350000.0,5716176.470588235,34,2018
Brighton and Hove Albion,1920,200775000.0,5905147.05882353,34,2019
Brighton and Hove Albion,2021,290400000.0,6753488.372093023,43,2020
Brighton and Hove Albion,2122,318000000.0,7756097.560975609,41,2021
Brighton and Hove Albion,2223,529800000.0,13245000.0,40,2022
Brighton and Hove Albion,2324,524400000.0,10925000.0,48,2023
Brighton and Hove Albion,2425,597700000.0,18112121.21212121,33,2024
Brighton and Hove Albion,2526,613000000.0,17514285.714285713,35,2025
Brighton and Hove Albion,2627,657500000.0,19338235.29411765,34,2026
Burnley FC,0910,48150000.0,1459090.9090909092,33,2009
Burnley FC,1415,52550000.0,1876785.7142857143,28,2014
Burnley FC,1617,107175000.0,3152205.882352941,34,2016
Burnley FC,1718,169300000.0,5837931.0344827585,29,2017
Burnley FC,1819,197250000.0,7044642.857142857,28,2018
Burnley FC,1920,163875000.0,6069444.444444444,27,2019
Burnley FC,2021,132300000.0,4267741.935483871,31,2020
Burnley FC,2122,137850000.0,4753448.275862069,29,2021
Burnley FC,2324,273475000.0,7012179.487179487,39,2023
Burnley FC,2526,233400000.0,7072727.2727272725,33,2025
Cardiff City,1314,87500000.0,2364864.864864865,37,2013
Cardiff City,1819,113000000.0,3645161.290322581,31,2018
Charlton Athletic,0001,0.0,,0,2000
Charlton Athletic,0102,0.0,,0,2001
Charlton Athletic,0203,0.0,,0,2002
Charlton Athletic,0304,0.0,,0,2003
Charlton Athletic,0405,58100000.0,2324000.0,25,2004
Charlton Athletic,0506,82425000.0,2497727.272727273,33,2005
Charlton Athletic,0607,68270000.0,2068787.878787879,33,2006
Charlton Athletic,9899,0.0,,0,1998
Chelsea FC,0001,0.0,,0,2000
Chelsea FC,0102,0.0,,0,2001
Chelsea FC,0203,0.0,,0,2002
Chelsea FC,0304,0.0,,0,2003
Chelsea FC,0405,331475000.0,10692741.935483871,31,2004
Chelsea FC,0506,363075000.0,13447222.222222222,27,2005
Chelsea FC,0607,416755000.0,12257500.0,34,2006
Chelsea FC,0708,434350000.0,12410000.0,35,2007
Chelsea FC,0809,448550000.0,14951666.666666666,30,2008
Chelsea FC,0910,451750000.0,13689393.93939394,33,2009
Chelsea FC,1011,424100000.0,14624137.931034483,29,2010
Chelsea FC,1112,375500000.0,12948275.862068966,29,2011
Chelsea FC,1213,444250000.0,14808333.333333334,30,2012
Chelsea FC,1314,584000000.0,12166666.666666666,48,2013
Chelsea FC,1415,557250000.0,15479166.666666666,36,2014
Chelsea FC,1516,553500000.0,16279411.764705881,34,2015
Chelsea FC,1617,686700000.0,14014285.714285715,49,2016
Chelsea FC,1718,884250000.0,21053571.42857143,42,2017
Chelsea FC,1819,1166650000.0,23809183.673469387,49,2018
Chelsea FC,1920,705850000.0,22769354.83870968,31,2019
Chelsea FC,2021,889200000.0,24032432.43243243,37,2020
Chelsea FC,2122,914500000.0,22862500.0,40,2021
Chelsea FC,2223,994950000.0,24267073.17073171,41,2022
Chelsea FC,2324,1013650000.0,20273000.0,50,2023
Chelsea FC,2425,1193950000.0,24366326.530612245,49,2024
Chelsea FC,2526,1114500000.0,38431034.48275862,29,2025
Chelsea FC,2627,1312500000.0,37500000.0,35,2026
Chelsea FC,9293,0.0,,0,1992
Chelsea FC,9394,0.0,,0,1993
Chelsea FC,9495,0.0,,0,1994
Chelsea FC,9596,0.0,,0,1995
Chelsea FC,9697,0.0,,0,1996
Chelsea FC,9798,0.0,,0,1997
Chelsea FC,9899,0.0,,0,1998
Chelsea FC,9900,0.0,,0,1999
Coventry City,0001,0.0,,0,2000
Coventry City,2627,220850000.0,8494230.76923077,26,2026
Coventry City,9293,0.0,,0,1992
Coventry City,9394,0.0,,0,1993
Coventry City,9495,0.0,,0,1994
Coventry City,9596,0.0,,0,1995
Coventry City,9697,0.0,,0,1996
Coventry City,9798,0.0,,0,1997
Coventry City,9899,0.0,,0,1998
Coventry City,9900,0.0,,0,1999
Crystal Palace,0405,38525000.0,1133088.2352941176,34,2004
Crystal Palace,1314,68450000.0,1850000.0,37,2013
Crystal Palace,1415,97250000.0,2628378.378378378,37,2014
Crystal Palace,1516,135700000.0,4112121.212121212,33,2015
Crystal Palace,1617,228425000.0,6011184.2105263155,38,2016
Crystal Palace,1718,220725000.0,6131250.0,36,2017
Crystal Palace,1819,289000000.0,9322580.64516129,31,2018
Crystal Palace,1920,189325000.0,7281730.769230769,26,2019
Crystal Palace,2021,193850000.0,5701470.588235294,34,2020
Crystal Palace,2122,271050000.0,9035000.0,30,2021
Crystal Palace,2223,323050000.0,8731081.081081081,37,2022
Crystal Palace,2324,446575000.0,11751973.684210526,38,2023
Crystal Palace,2425,448200000.0,15455172.413793104,29,2024
Crystal Palace,2526,553000000.0,18433333.333333332,30,2025
Crystal Palace,2627,550550000.0,17759677.419354837,31,2026
Crystal Palace,9293,0.0,,0,1992
Crystal Palace,9495,0.0,,0,1994
Crystal Palace,9798,0.0,,0,1997
Derby County,0001,0.0,,0,2000
Derby County,0102,0.0,,0,2001
Derby County,0708,50400000.0,1260000.0,40,2007
Derby County,9697,0.0,,0,1996
Derby County,9798,0.0,,0,1997
Derby County,9899,0.0,,0,1998
Derby County,9900,0.0,,0,1999
Everton FC,0001,0.0,,0,2000
Everton FC,0102,0.0,,0,2001
Everton FC,0203,0.0,,0,2002
Everton FC,0304,0.0,,0,2003
Everton FC,0405,74525000.0,2661607.1428571427,28,2004
Everton FC,0506,92820000.0,3200689.6551724137,29,2005
Everton FC,0607,100100000.0,4004000.0,25,2006
Everton FC,0708,146150000.0,5039655.172413793,29,2007
Everton FC,0809,189300000.0,6760714.285714285,28,2008
Everton FC,0910,218925000.0,6255000.0,35,2009
Everton FC,1011,184475000.0,7095192.307692308,26,2010
Everton FC,1112,168850000.0,5628333.333333333,30,2011
Everton FC,1213,139750000.0,5822916.666666667,24,2012
Everton FC,1314,210000000.0,7000000.0,30,2013
Everton FC,1415,182850000.0,5898387.096774193,31,2014
Everton FC,1516,249850000.0,7571212.121212121,33,2015
Everton FC,1617,311250000.0,8412162.162162162,37,2016
Everton FC,1718,381250000.0,9775641.025641026,39,2017
Everton FC,1819,529100000.0,13227500.0,40,2018
Everton FC,1920,420550000.0,13142187.5,32,2019
Everton FC,2021,511200000.0,13816216.216216216,37,2020
Everton FC,2122,479050000.0,13306944.444444444,36,2021
Everton FC,2223,413150000.0,10872368.421052631,38,2022
Everton FC,2324,391750000.0,12242187.5,32,2023
Everton FC,2425,350350000.0,13475000.0,26,2024
Everton FC,2526,443550000.0,16427777.777777778,27,2025
Everton FC,2627,454100000.0,19743478.260869566,23,2026
Everton FC,9293,0.0,,0,1992
Everton FC,9394,0.0,,0,1993
Everton FC,9495,0.0,,0,1994
Everton FC,9596,0.0,,0,1995
Everton FC,9697,0.0,,0,1996
Everton FC,9798,0.0,,0,1997
Everton FC,9899,0.0,,0,1998
Everton FC,9900,0.0,,0,1999
Fulham FC,0102,0.0,,0,2001
Fulham FC,0203,0.0,,0,2002
Fulham FC,0304,0.0,,0,2003
Fulham FC,0405,65225000.0,1976515.1515151516,33,2004
Fulham FC,0506,70524999.0,2274999.9677419355,31,2005
Fulham FC,0607,79350000.0,2559677.419354839,31,2006
Fulham FC,0708,84050000.0,2271621.621621622,37,2007
Fulham FC,0809,73700000.0,2456666.6666666665,30,2008
Fulham FC,0910,101175000.0,2467682.926829268,41,2009
Fulham FC,1011,109550000.0,3319696.9696969697,33,2010
Fulham FC,1112,100000000.0,2941176.470588235,34,2011
Fulham FC,1213,108800000.0,3400000.0,32,2012
Fulham FC,1314,112450000.0,3039189.189189189,37,2013
Fulham FC,1819,254250000.0,8475000.0,30,2018
Fulham FC,2021,239750000.0,6309210.52631579,38,2020
Fulham FC,2223,295100000.0,6706818.181818182,44,2022
Fulham FC,2324,384350000.0,10981428.57142857,35,2023
Fulham FC,2425,351350000.0,13513461.538461538,26,2024
Fulham FC,2526,356200000.0,14248000.0,25,2025
Fulham FC,2627,301300000.0,15065000.0,20,2026
Huddersfield Town,1718,106050000.0,3119117.6470588236,34,2017
Huddersfield Town,1819,137450000.0,4581666.666666667,30,2018
Hull City,0809,64700000.0,1848571.4285714286,35,2008
Hull City,0910,73200000.0,2091428.5714285714,35,2009
Hull City,1314,68150000.0,2271666.6666666665,30,2013
Hull City,1415,117100000.0,3548484.8484848486,33,2014
Hull City,1617,135850000.0,3881428.5714285714,35,2016
Hull City,2627,72650000.0,2690740.7407407407,27,2026
Ipswich Town,0001,0.0,,0,2000
Ipswich Town,0102,0.0,,0,2001
Ipswich Town,2425,229300000.0,7396774.193548387,31,2024
Ipswich Town,2627,238150000.0,8212068.9655172415,29,2026
Ipswich Town,9293,0.0,,0,1992
Ipswich Town,9394,0.0,,0,1993
Ipswich Town,9495,0.0,,0,1994
Leeds United,0001,0.0,,0,2000
Leeds United,0102,0.0,,0,2001
Leeds United,0203,0.0,,0,2002
Leeds United,0304,0.0,,0,2003
Leeds United,2021,238100000.0,6435135.135135135,37,2020
Leeds United,2122,299450000.0,9357812.5,32,2021
Leeds United,2223,345150000.0,8628750.0,40,2022
Leeds United,2526,373300000.0,13332142.857142856,28,2025
Leeds United,2627,408600000.0,14592857.142857144,28,2026
Leeds United,9293,0.0,,0,1992
Leeds United,9394,0.0,,0,1993
Leeds United,9495,0.0,,0,1994
Leeds United,9596,0.0,,0,1995
Leeds United,9697,0.0,,0,1996
Leeds United,9798,0.0,,0,1997
Leeds United,9899,0.0,,0,1998
Leeds United,9900,0.0,,0,1999
Leicester City,0001,0.0,,0,2000
Leicester City,0102,0.0,,0,2001
Leicester City,0304,0.0,,0,2003
Leicester City,1415,66700000.0,1905714.2857142857,35,2014
Leicester City,1516,161100000.0,5196774.193548387,31,2015
Leicester City,1617,218650000.0,7288333.333333333,30,2016
Leicester City,1718,304250000.0,9814516.129032258,31,2017
Leicester City,1819,434100000.0,12058333.333333334,36,2018
Leicester City,1920,411100000.0,14175862.068965517,29,2019
Leicester City,2021,510600000.0,15956250.0,32,2020
Leicester City,2122,526550000.0,15956060.606060605,33,2021
Leicester City,2223,490700000.0,14020000.0,35,2022
Leicester City,2425,242800000.0,7587500.0,32,2024
Leicester City,9495,0.0,,0,1994
Leicester City,9697,0.0,,0,1996
Leicester City,9798,0.0,,0,1997
Leicester City,9899,0.0,,0,1998
Leicester City,9900,0.0,,0,1999
Liverpool FC,0001,0.0,,0,2000
Liverpool FC,0102,0.0,,0,2001
Liverpool FC,0203,0.0,,0,2002
Liverpool FC,0304,0.0,,0,2003
Liverpool FC,0405,222125000.0,5845394.736842105,38,2004
Liverpool FC,0506,204050000.0,6582258.064516129,31,2005
Liverpool FC,0607,239565000.0,7259545.454545454,33,2006
Liverpool FC,0708,305650000.0,7454878.048780488,41,2007
Liverpool FC,0809,312100000.0,11146428.57142857,28,2008
Liverpool FC,0910,331500000.0,10693548.387096774,31,2009
Liverpool FC,1011,339200000.0,10600000.0,32,2010
Liverpool FC,1112,233900000.0,8996153.846153846,26,2011
Liverpool FC,1213,276100000.0,8628125.0,32,2012
Liverpool FC,1314,307250000.0,10594827.586206896,29,2013
Liverpool FC,1415,324850000.0,10151562.5,32,2014
Liverpool FC,1516,375250000.0,9621794.871794872,39,2015
Liverpool FC,1617,425650000.0,11823611.111111112,36,2016
Liverpool FC,1718,857500000.0,25984848.484848484,33,2017
Liverpool FC,1819,1172400000.0,35527272.72727273,33,2018
Liverpool FC,1920,1002650000.0,25708974.35897436,39,2019
Liverpool FC,2021,969650000.0,25517105.263157893,38,2020
Liverpool FC,2122,918900000.0,21878571.42857143,42,2021
Liverpool FC,2223,811850000.0,22551388.888888888,36,2022
Liverpool FC,2324,955650000.0,21719318.181818184,44,2023
Liverpool FC,2425,872000000.0,34880000.0,25,2024
Liverpool FC,2526,959500000.0,33086206.896551725,29,2025
Liverpool FC,2627,979500000.0,33775862.06896552,29,2026
Liverpool FC,9293,0.0,,0,1992
Liverpool FC,9394,0.0,,0,1993
Liverpool FC,9495,0.0,,0,1994
Liverpool FC,9596,0.0,,0,1995
Liverpool FC,9697,0.0,,0,1996
Liverpool FC,9798,0.0,,0,1997
Liverpool FC,9899,0.0,,0,1998
Liverpool FC,9900,0.0,,0,1999
Luton Town,2324,140900000.0,3522500.0,40,2023
Manchester City,0001,0.0,,0,2000
Manchester City,0203,0.0,,0,2002
Manchester City,0304,0.0,,0,2003
Manchester City,0405,94300000.0,3041935.4838709678,31,2004
Manchester City,0506,91775000.0,2960483.870967742,31,2005
Manchester City,0607,82849998.0,2856896.4827586208,29,2006
Manchester City,0708,135600000.0,4520000.0,30,2007
Manchester City,0809,219749999.0,6867187.46875,32,2008
Manchester City,0910,312500000.0,7812500.0,40,2009
Manchester City,1011,404175000.0,11547857.142857144,35,2010
Manchester City,1112,498350000.0,16075806.451612903,31,2011
Manchester City,1213,487000000.0,15218750.0,32,2012
Manchester City,1314,451300000.0,18052000.0,25,2013
Manchester City,1415,448250000.0,14941666.666666666,30,2014
Manchester City,1516,499350000.0,17833928.57142857,28,2015
Manchester City,1617,576500000.0,17469696.96969697,33,2016
Manchester City,1718,1009000000.0,34793103.448275864,29,2017
Manchester City,1819,1203450000.0,32525675.675675675,37,2018
Manchester City,1920,1048675000.0,32771093.75,32,2019
Manchester City,2021,1044500000.0,30720588.23529412,34,2020
Manchester City,2122,1003700000.0,28677142.85714286,35,2021
Manchester City,2223,1145950000.0,36966129.03225806,31,2022
Manchester City,2324,1362500000.0,40073529.4117647,34,2023
Manchester City,2425,1344200000.0,37338888.88888889,36,2024
Manchester City,2526,1322800000.0,47242857.14285714,28,2025
Manchester City,2627,1495300000.0,46728125.0,32,2026
Manchester City,9293,0.0,,0,1992
Manchester City,9394,0.0,,0,1993
Manchester City,9495,0.0,,0,1994
Manchester City,9596,0.0,,0,1995
Manchester United,0001,0.0,,0,2000
Manchester United,0102,0.0,,0,2001
Manchester United,0203,0.0,,0,2002
Manchester United,0304,0.0,,0,2003
Manchester United,0405,293225000.0,7925000.0,37,2004
Manchester United,0506,254575000.0,8485833.333333334,30,2005
Manchester United,0607,259150000.0,7853030.303030303,33,2006
Manchester United,0708,354500000.0,10742424.242424242,33,2007
Manchester United,0809,422700000.0,13635483.870967742,31,2008
Manchester United,0910,383150000.0,11610606.06060606,33,2009
Manchester United,1011,388000000.0,11757575.757575758,33,2010
Manchester United,1112,404100000.0,11885294.11764706,34,2011
Manchester United,1213,450500000.0,14078125.0,32,2012
Manchester United,1314,400800000.0,12525000.0,32,2013
Manchester United,1415,505400000.0,12033333.333333334,42,2014
Manchester United,1516,439850000.0,12936764.705882354,34,2015
Manchester United,1617,531450000.0,15184285.714285715,35,2016
Manchester United,1718,849500000.0,25742424.242424242,33,2017
Manchester United,1819,797600000.0,25729032.258064516,31,2018
Manchester United,1920,670450000.0,17191025.64102564,39,2019
Manchester United,2021,770050000.0,19744871.794871796,39,2020
Manchester United,2122,769150000.0,19721794.871794872,39,2021
Manchester United,2223,847750000.0,19267045.454545453,44,2022
Manchester United,2324,808350000.0,20208750.0,40,2023
Manchester United,2425,696000000.0,23200000.0,30,2024
Manchester United,2526,764100000.0,26348275.862068966,29,2025
Manchester United,2627,899300000.0,23665789.47368421,38,2026
Manchester United,9293,0.0,,0,1992
Manchester United,9394,0.0,,0,1993
Manchester United,9495,0.0,,0,1994
Manchester United,9596,0.0,,0,1995
Manchester United,9697,0.0,,0,1996
Manchester United,9798,0.0,,0,1997
Manchester United,9899,0.0,,0,1998
Manchester United,9900,0.0,,0,1999
Middlesbrough FC,0001,0.0,,0,2000
Middlesbrough FC,0102,0.0,,0,2001
Middlesbrough FC,0203,0.0,,0,2002
Middlesbrough FC,0304,0.0,,0,2003
Middlesbrough FC,0405,95475000.0,2893181.8181818184,33,2004
Middlesbrough FC,0506,94375000.0,2696428.5714285714,35,2005
Middlesbrough FC,0607,89269999.0,2975666.6333333333,30,2006
Middlesbrough FC,0708,93550000.0,3118333.3333333335,30,2007
Middlesbrough FC,0809,80750000.0,2691666.6666666665,30,2008
Middlesbrough FC,1617,128800000.0,3680000.0,35,2016
Middlesbrough FC,9293,0.0,,0,1992
Middlesbrough FC,9596,0.0,,0,1995
Middlesbrough FC,9697,0.0,,0,1996
Middlesbrough FC,9899,0.0,,0,1998
Middlesbrough FC,9900,0.0,,0,1999
Newcastle United,0001,0.0,,0,2000
Newcastle United,0102,0.0,,0,2001
Newcastle United,0203,0.0,,0,2002
Newcastle United,0304,0.0,,0,2003
Newcastle United,0405,125900000.0,4061290.3225806453,31,2004
Newcastle United,0506,129080000.0,5378333.333333333,24,2005
Newcastle United,0607,143299998.0,4776666.6,30,2006
Newcastle United,0708,129550000.0,4467241.379310345,29,2007
Newcastle United,0809,121100000.0,3784375.0,32,2008
Newcastle United,1011,119475000.0,3620454.5454545454,33,2010
Newcastle United,1112,161700000.0,5053125.0,32,2011
Newcastle United,1213,199750000.0,5875000.0,34,2012
Newcastle United,1314,172300000.0,5384375.0,32,2013
Newcastle United,1415,140000000.0,3888888.888888889,36,2014
Newcastle United,1516,198000000.0,5210526.315789473,38,2015
Newcastle United,1718,208275000.0,5785416.666666667,36,2017
Newcastle United,1819,244650000.0,7195588.235294118,34,2018
Newcastle United,1920,252475000.0,7425735.294117647,34,2019
Newcastle United,2021,255350000.0,7737878.787878788,33,2020
Newcastle United,2122,313900000.0,9809375.0,32,2021
Newcastle United,2223,541600000.0,14637837.837837838,37,2022
Newcastle United,2324,652250000.0,15908536.585365854,41,2023
Newcastle United,2425,651525000.0,21016935.48387097,31,2024
Newcastle United,2526,697350000.0,22495161.29032258,31,2025
Newcastle United,2627,619800000.0,24792000.0,25,2026
Newcastle United,9394,0.0,,0,1993
Newcastle United,9495,0.0,,0,1994
Newcastle United,9596,0.0,,0,1995
Newcastle United,9697,0.0,,0,1996
Newcastle United,9798,0.0,,0,1997
Newcastle United,9899,0.0,,0,1998
Newcastle United,9900,0.0,,0,1999
Norwich City,0405,31050000.0,1150000.0,27,2004
Norwich City,1112,58750000.0,2025862.0689655172,29,2011
Norwich City,1213,73250000.0,2219696.9696969697,33,2012
Norwich City,1314,88100000.0,3146428.5714285714,28,2013
Norwich City,1516,116900000.0,2851219.512195122,41,2015
Norwich City,1920,145325000.0,4541406.25,32,2019
Norwich City,2122,163200000.0,3980487.8048780486,41,2021
Norwich City,9293,0.0,,0,1992
Norwich City,9394,0.0,,0,1993
Norwich City,9495,0.0,,0,1994
Nottingham Forest,2223,376250000.0,8005319.14893617,47,2022
Nottingham Forest,2324,501350000.0,10898913.043478262,46,2023
Nottingham Forest,2425,462650000.0,15953448.27586207,29,2024
Nottingham Forest,2526,638600000.0,19351515.151515152,33,2025
Nottingham Forest,2627,517800000.0,18492857.14285714,28,2026
Nottingham Forest,9293,0.0,,0,1992
Nottingham Forest,9495,0.0,,0,1994
Nottingham Forest,9596,0.0,,0,1995
Nottingham Forest,9697,0.0,,0,1996
Nottingham Forest,9899,0.0,,0,1998
Oldham Athletic,9293,0.0,,0,1992
Oldham Athletic,9394,0.0,,0,1993
Portsmouth FC,0304,0.0,,0,2003
Portsmouth FC,0405,66500000.0,1797297.2972972973,37,2004
Portsmouth FC,0506,86125000.0,2392361.111111111,36,2005
Portsmouth FC,0607,82025000.0,3154807.6923076925,26,2006
Portsmouth FC,0708,141300000.0,4281818.181818182,33,2007
Portsmouth FC,0809,152600000.0,4238888.888888889,36,2008
Portsmouth FC,0910,96650000.0,2478205.128205128,39,2009
Queens Park Rangers,1112,81250000.0,1889534.8837209302,43,2011
Queens Park Rangers,1213,111550000.0,3485937.5,32,2012
Queens Park Rangers,1415,112250000.0,3401515.1515151514,33,2014
Queens Park Rangers,9293,0.0,,0,1992
Queens Park Rangers,9394,0.0,,0,1993
Queens Park Rangers,9495,0.0,,0,1994
Queens Park Rangers,9596,0.0,,0,1995
Reading FC,0607,32650000.0,1166071.4285714286,28,2006
Reading FC,0708,65925000.0,1648125.0,40,2007
Reading FC,1213,46000000.0,1533333.3333333333,30,2012
Sheffield United,0607,34715000.0,1021029.4117647059,34,2006
Sheffield United,1920,138600000.0,4076470.588235294,34,2019
Sheffield United,2021,149850000.0,4162500.0,36,2020
Sheffield United,2324,152350000.0,3627380.9523809524,42,2023
Sheffield United,9293,0.0,,0,1992
Sheffield United,9394,0.0,,0,1993
Sheffield Wednesday,9293,0.0,,0,1992
Sheffield Wednesday,9394,0.0,,0,1993
Sheffield Wednesday,9495,0.0,,0,1994
Sheffield Wednesday,9596,0.0,,0,1995
Sheffield Wednesday,9697,0.0,,0,1996
Sheffield Wednesday,9798,0.0,,0,1997
Sheffield Wednesday,9899,0.0,,0,1998
Sheffield Wednesday,9900,0.0,,0,1999
Southampton FC,0001,0.0,,0,2000
Southampton FC,0102,0.0,,0,2001
Southampton FC,0203,0.0,,0,2002
